id-señal,timestamp-lectura,valor-lectura
pressure,1295146275809,62
precipitation,1448427155592,91
precipitation,1457862492064,41
temperature,1360115618783,65
pressure,1325622075445,68
precipitation,1278277510443,10
precipitation,1349940709571,1
pressure,1423917014814,48
temperature,1334056306141,77
precipitation,1324831010925,10
precipitation,1382375561352,70
precipitation,1345268204002,43
temperature,1344909381878,96
precipitation,1446723571855,23
precipitation,1310801127278,44
temperature,1315482504344,26
pressure,1428147302680,78
pressure,1458421979616,96
temperature,1446110615917,63
pressure,1411428737450,62
precipitation,1373442937240,26
precipitation,1429147358806,27
pressure,1338673831542,52
precipitation,1393789937510,52
temperature,1447118939869,33
pressure,1397821234808,77
temperature,1292700167567,13
humidity,1266188383043,54
precipitation,1290924431618,90
temperature,1348516796224,76
temperature,1346015120731,86
precipitation,1325826077332,52
humidity,1269857205236,91
pressure,1307688185552,47
precipitation,1405957333209,35
pressure,1411364061292,67
temperature,1411259289542,67
pressure,1441533178845,9
precipitation,1343048393122,83
precipitation,1459502875672,38
humidity,1441994767534,40
temperature,1295358658143,94
humidity,1321855313699,46
temperature,1292096608209,72
precipitation,1342329816385,75
humidity,1293793727400,27
pressure,1324811564295,19
precipitation,1390587813982,39
precipitation,1266826069375,97
precipitation,1386895885593,28
precipitation,1362762149357,27
temperature,1302791721558,100
precipitation,1358477599240,45
precipitation,1320033944040,12
precipitation,1299954105415,79
pressure,1293463610777,76
humidity,1331958432754,92
precipitation,1318364771680,91
precipitation,1325216939492,13
precipitation,1359044914451,57
pressure,1278485787930,89
pressure,1391446420058,19
humidity,1386214430299,88
precipitation,1276871682121,91
temperature,1309746141663,62
precipitation,1304881992358,25
precipitation,1325344042896,46
precipitation,1310187570820,31
temperature,1446268428681,30
precipitation,1304865304962,41
humidity,1307983204697,77
precipitation,1387665559672,80
temperature,1426222840884,54
precipitation,1308514948147,40
pressure,1436638885631,19
temperature,1367534433137,46
pressure,1358854017874,8
humidity,1394222126866,71
temperature,1358760340975,90
precipitation,1283304711639,61
precipitation,1435567188924,28
pressure,1363726164823,74
humidity,1411916310469,33
precipitation,1266152183322,51
precipitation,1356165227960,51
humidity,1316241869772,84
humidity,1374821129172,100
precipitation,1312099328819,7
pressure,1379103815688,37
pressure,1425670400346,70
precipitation,1401955488828,4
precipitation,1461870185175,80
temperature,1426849685624,22
pressure,1315908420871,19
temperature,1414683799411,92
precipitation,1349803374849,23
precipitation,1264195914031,45
temperature,1374208921688,88
temperature,1290165453638,24
humidity,1308231273833,21
precipitation,1345384161791,58
temperature,1336390438248,45
pressure,1337360434084,97
temperature,1299586414844,82
humidity,1327518849746,40
pressure,1319829228566,97
precipitation,1373930119335,20
precipitation,1289450477607,93
